"","x","y","z"
"27",-121.385316345,38.312521565,7.74090677054724
"28",-121.385089075,38.312521565,7.72794078913906
"29",-121.384861805,38.312521565,7.71727614305856
"30",-121.384634535,38.312521565,7.70909137216091
"31",-121.384407265,38.312521565,7.70358170030327
"32",-121.384179995,38.312521565,7.70096516609222
"33",-121.383952725,38.312521565,7.70148973871567
"34",-121.383725455,38.312521565,7.705440980988
"35",-121.383498185,38.312521565,7.71314938461129
"36",-121.383270915,38.312521565,7.72499592405708
"37",-121.383043645,38.312521565,7.74141368131491
"38",-121.382816375,38.312521565,7.76288264771776
"39",-121.382589105,38.312521565,7.78991411773751
"40",-121.382361835,38.312521565,7.8157804067112
"41",-121.382134565,38.312521565,7.85556270583701
"42",-121.381907295,38.312521565,7.9023105085745
"43",-121.381680025,38.312521565,7.95617533567366
"44",-121.381452755,38.312521565,8.01697415177515
"45",-121.381225485,38.312521565,8.08405021283911
"46",-121.380998215,38.312521565,8.15612531394101
"47",-121.380770945,38.312521565,8.23116115205358
"48",-121.380543675,38.312521565,8.30625510519074
"49",-121.380316405,38.312521565,8.37760170147448
"50",-121.380089135,38.312521565,8.44055258128248
"51",-121.379861865,38.312521565,8.48980188688254
"52",-121.379634595,38.312521565,8.51970893220198
"53",-121.379407325,38.312521565,8.52474645763412
"54",-121.379180055,38.312521565,8.50003485093052
"55",-121.378952785,38.312521565,8.44189725717606
"56",-121.378725515,38.312521565,8.34835502908644
"57",-121.378498245,38.312521565,8.21948295892737
"58",-121.378270975,38.312521565,8.05756057726951
"59",-121.378043705,38.312521565,7.86698640233705
"60",-121.377816435,38.312521565,7.65395994339111
"61",-121.377589165,38.312521565,7.42597361375597
"62",-121.377361895,38.312521565,7.19118595956712
"63",-121.377134625,38.312521565,6.95776304574938
"64",-121.376907355,38.312521565,6.73327376388198
"65",-121.376680085,38.312521565,6.47557950206054
"66",-121.376452815,38.312521565,6.28561232912103
"67",-121.376225545,38.312521565,6.1201593361072
"68",-121.375998275,38.312521565,5.98108813862309
"69",-121.375771005,38.312521565,5.86891123891586
"70",-121.375543735,38.312521565,5.7830208096841
